Date,Quantile_0.025,Quantile_0.25,Quantile_0.5,Quantile_0.75,Quantile_0.975,Median,Mean,Std,Min,Max,Region,District,Day,Month,Year
2019-02-22,0.057476389687508345,0.09067421779036522,0.11463521793484688,0.1429702453315258,0.21251617223024363,0.114635214,0.119734876,0.040765967,0.036900703,0.38981798,Chittagong,Bandarban,22,2,2019
2020-12-14,0.0253745811060071,0.03614329360425472,0.04359057545661926,0.05244120489805937,0.08995654582977283,0.043590575,0.04663425,0.0171205,0.015478102,0.25358397,Chittagong,Bandarban,14,12,2020
2018-04-19,0.057091984618455174,0.15018010511994362,0.2230859324336052,0.31036148220300674,0.49672587588429423,0.22308594,0.23742527,0.115968585,0.014882037,0.7540858,Chittagong,Bandarban,19,4,2018
2020-06-29,0.004726468701846898,0.009072652319446206,0.012928472366183996,0.018257445190101862,0.04929822385311126,0.012928473,0.015787927,0.012013422,0.0025020347,0.14640081,Chittagong,Bandarban,29,6,2020
2019-06-14,0.005999681877437979,0.010525726480409503,0.014510287903249264,0.02057059435173869,0.045987315662205035,0.014510288,0.01724713,0.010825737,0.0029751244,0.14679837,Chittagong,Bandarban,14,6,2019
2019-03-10,0.04288156284019351,0.0704149380326271,0.0948273278772831,0.1223781667649746,0.19665596708655336,0.094827324,0.100836605,0.040394213,0.026098223,0.3394935,Chittagong,Bandarban,10,3,2019
2018-10-28,0.008734928769990801,0.0142216756939888,0.018827526830136776,0.024637775495648384,0.061647207476198604,0.018827528,0.021861983,0.014403497,0.004886778,0.25186244,Chittagong,Bandarban,28,10,2018
2019-09-10,0.003060089866630733,0.00636805803515017,0.009372641798108816,0.01454441761597991,0.05597240803763253,0.009372642,0.013683696,0.0154005,0.0010851254,0.21340688,Chittagong,Bandarban,10,9,2019
2020-07-23,0.007371623674407602,0.01330964732915163,0.017866719514131546,0.024172015488147736,0.06747609395533795,0.01786672,0.021860654,0.017348217,0.0018963099,0.32839146,Chittagong,Bandarban,23,7,2020
2017-04-11,0.024553606659173968,0.0386027367785573,0.0513624083250761,0.07093027047812939,0.12960461378097532,0.05136241,0.058497757,0.029430859,0.012667496,0.38395545,Chittagong,Bandarban,11,4,2017
2019-12-31,0.048587483912706377,0.06205425411462784,0.07162350788712502,0.08279663510620594,0.12036525923758719,0.071623504,0.07453794,0.01924084,0.028695952,0.28592515,Chittagong,Bandarban,31,12,2019
2019-04-11,0.02358392747119069,0.04317704774439335,0.06421221420168877,0.09312740713357925,0.18791326992213692,0.06421222,0.07471211,0.04607011,0.010859736,0.6298325,Chittagong,Bandarban,11,4,2019
2020-05-12,0.030647299950942397,0.06208811514079571,0.09007526934146881,0.12890541926026344,0.2398497030138969,0.09007527,0.10173593,0.055621035,0.014407983,0.53704333,Chittagong,Bandarban,12,5,2020
2019-09-18,0.005371980927884578,0.009200597181916237,0.012505249585956335,0.017548687290400267,0.05993033349513987,0.01250525,0.016866118,0.01696317,0.0024975971,0.27318865,Chittagong,Bandarban,18,9,2019
2019-05-29,0.008585962792858481,0.020548141561448574,0.0297347791492939,0.04210503678768873,0.08515914548188445,0.02973478,0.034184035,0.021680059,0.0046894276,0.33953193,Chittagong,Bandarban,29,5,2019
2020-10-03,0.007917151716537774,0.012377977138385177,0.015338168013840914,0.019726962316781282,0.04426783230155699,0.015338168,0.017836409,0.010295551,0.0045210323,0.22247909,Chittagong,Bandarban,3,10,2020
2019-02-14,0.05699162371456623,0.09059998393058777,0.11537708714604378,0.1417660340666771,0.20682145617902267,0.11537708,0.119092956,0.039691787,0.035510525,0.47395718,Chittagong,Bandarban,14,2,2019
2017-06-30,0.004482757346704602,0.007374023785814643,0.010065319016575813,0.014210500754415989,0.04392195381224154,0.010065319,0.013111085,0.012018261,0.0022167503,0.23995091,Chittagong,Bandarban,30,6,2017
2019-04-03,0.03156176526099443,0.057052966207265854,0.08027941361069679,0.11455102264881134,0.2218202888965606,0.08027941,0.09237215,0.051420555,0.014824516,0.69749314,Chittagong,Bandarban,3,4,2019
2017-12-07,0.01683740350417793,0.027338034473359585,0.033795179799199104,0.04136037174612284,0.08035048320889453,0.033795178,0.03688457,0.017891642,0.009391202,0.29690152,Chittagong,Bandarban,7,12,2017
2017-08-25,0.01012485681567341,0.017611336894333363,0.02351060789078474,0.03171936608850956,0.0827175226062535,0.023510609,0.028430132,0.02074167,0.0053761033,0.28460583,Chittagong,Bandarban,25,8,2017
2020-03-17,0.07601391430944204,0.12073153257369995,0.14959394186735153,0.18062062934041023,0.25606861487030963,0.14959395,0.1532004,0.046523508,0.051979143,0.48574442,Chittagong,Bandarban,17,3,2020
2020-01-21,0.05384299075230956,0.0700179971754551,0.08214592561125755,0.09945596382021904,0.14642684385180463,0.08214593,0.08714032,0.024311787,0.04007449,0.275728,Chittagong,Bandarban,21,1,2020
2020-06-13,0.005448996950872243,0.010615407954901457,0.014618802815675735,0.02018227195367217,0.04576612804084993,0.014618803,0.01710773,0.011068679,0.002570187,0.16559272,Chittagong,Bandarban,13,6,2020
2020-04-26,0.030170485936105253,0.056849935092031956,0.08120164647698402,0.11386309377849102,0.19737015143036837,0.08120164,0.08987586,0.043960504,0.0155655015,0.4062131,Chittagong,Bandarban,26,4,2020
2020-09-17,0.008554832497611641,0.013809652533382177,0.01803690381348133,0.023748523090034723,0.04756060065701602,0.018036904,0.020604648,0.012431518,0.005039876,0.23554973,Chittagong,Bandarban,17,9,2020
